"Country","Year","dRGDP","debtgdp","lag.dRGDP","lag.debtgdp"
"France",1995,4.18634907398121,70.2537636323358,5.05138434156795,64.8607314925023
"France",1996,5.09976633590639,68.9067657963775,4.18634907398121,70.2537636323358
"France",1997,5.39264034704545,67.1295055308351,5.09976633590639,68.9067657963775
"France",1998,2.68278349077422,68.97821740503,5.39264034704545,67.1295055308351
"France",1999,2.02577059008238,64.856541683126,2.68278349077422,68.97821740503
"France",2000,3.25356799462169,55.7910939483136,2.02577059008238,64.856541683126
"France",2001,1.99015413560657,55.4106019298714,3.25356799462169,55.7910939483136
"France",2002,1.5020556300011,59.4461956131592,1.99015413560657,55.4106019298714
"France",2003,1.01352403424735,62.9552712648149,1.5020556300011,59.4461956131592
"France",2004,3.86412636417943,61.7828621259409,1.01352403424735,62.9552712648149
"France",2005,2.73920744287439,58.8676685237341,3.86412636417943,61.7828621259409
"France",2006,2.28088854199129,53.246711150831,2.73920744287439,58.8676685237341
"France",2007,3.13409178573727,53.0848312114918,2.28088854199129,53.246711150831
"France",2008,2.13213029844797,51.5673070885917,3.13409178573727,53.0848312114918
"France",2009,-1.90667609190309,60.0015126431759,2.13213029844797,51.5673070885917
"Germany",1952,8.66994155599818,6.30451073414595,9.16699955531102,6.05570594801258
"Germany",1953,8.37245944967184,7.317731928861,8.66994155599818,6.30451073414595
"Germany",1954,7.45537153744686,11.2503461644974,8.37245944967184,7.317731928861
"Germany",1955,11.0037535735329,11.1421697590695,7.45537153744686,11.2503461644974
"Germany",1956,7.16697548916008,10.0248557452743,11.0037535735329,11.1421697590695
"Germany",1957,5.72937448118032,9.1284086924142,7.16697548916008,10.0248557452743
"Germany",1958,4.45224271316131,9.30541820664288,5.72937448118032,9.1284086924142
"Germany",1959,7.31355339192981,8.9043369588565,4.45224271316131,9.30541820664288
"Germany",1960,8.06101145270799,8.66384165083684,7.31355339192981,8.9043369588565
"Germany",1961,4.11920169316111,9.43705601600525,8.06101145270799,8.66384165083684
"Germany",1962,4.265787541252,8.34805536386951,4.11920169316111,9.43705601600525
"Germany",1963,2.81877379216615,8.37921036160891,4.265787541252,8.34805536386951
"Germany",1964,6.07829549136805,8.15317533566623,2.81877379216615,8.37921036160891
"Germany",1965,5.06976694950496,7.64062919514295,6.07829549136805,8.15317533566623
"Germany",1966,2.9641708813209,7.82011019537843,5.06976694950496,7.64062919514295
"Germany",1967,0.309899593649932,9.37943742371787,2.9641708813209,7.82011019537843
"Germany",1968,5.27487075152242,9.49325447456669,0.309899593649932,9.37943742371787
"Germany",1969,6.61144225461736,8.41111707489494,5.27487075152242,9.49325447456669
"Germany",1970,4.67997665785127,6.76650403022963,6.61144225461736,8.41111707489494
"Germany",1971,2.94317538900941,6.37118047730386,4.67997665785127,6.76650403022963
"Germany",1972,4.12735319160704,6.39365382879032,2.94317538900941,6.37118047730386
"Germany",1973,4.53847847663982,6.00798691904875,4.12735319160704,6.39365382879032
"Germany",1974,0.827304433424536,6.74876459586687,4.53847847663982,6.00798691904875
"Germany",1975,-0.544631318820332,9.94539109161556,0.827304433424536,6.74876459586687
