"Country","Year","Infl","dRGDP","debtgdp","lag.debtgdp1","lag.dRGDP1","lag.debtgdp2","lag.dRGDP2","lag.debtgdp3","lag.dRGDP3"
"Japan",2002,NA,0.262257029347435,130.913655681115,122.018805754239,0.18438948337951,106.480645738484,2.86013943123504,98.3403298441208,-0.141010782108641
"Japan",2003,NA,1.4135402737087,136.677422118158,130.913655681115,0.262257029347435,122.018805754239,0.18438948337951,106.480645738484,2.86013943123504
"Japan",2004,NA,2.74426209676633,150.725325488433,136.677422118158,1.4135402737087,130.913655681115,0.262257029347435,122.018805754239,0.18438948337951
"Japan",2005,NA,1.93409253753054,162.074525545409,150.725325488433,2.74426209676633,136.677422118158,1.4135402737087,130.913655681115,0.262257029347435
"Japan",2006,NA,2.0394692472756,164.036364353079,162.074525545409,1.93409253753054,150.725325488433,2.74426209676633,136.677422118158,1.4135402737087
"Japan",2007,NA,2.33731652904197,162.46546660075,164.036364353079,2.0394692472756,162.074525545409,1.93409253753054,150.725325488433,2.74426209676633
"Japan",2008,NA,-0.705249317140966,166.87808329605,162.46546660075,2.33731652904197,164.036364353079,2.0394692472756,162.074525545409,1.93409253753054
"Japan",2009,NA,-5.36936455859048,181.511011155724,166.87808329605,-0.705249317140966,162.46546660075,2.33731652904197,164.036364353079,2.0394692472756
"Netherlands",1957,NA,2.81186469738164,46.3609805664931,NA,NA,NA,NA,NA,NA
"Netherlands",1958,NA,-0.296605122096483,47.0868910095429,46.3609805664931,2.81186469738164,NA,NA,NA,NA
"Netherlands",1959,NA,4.88883047992259,44.7822756466914,47.0868910095429,-0.296605122096483,46.3609805664931,2.81186469738164,NA,NA
"Netherlands",1960,NA,8.41411046438783,41.1218894981021,44.7822756466914,4.88883047992259,47.0868910095429,-0.296605122096483,46.3609805664931,2.81186469738164
"Netherlands",1961,NA,0.288926245009447,38.8891658772498,41.1218894981021,8.41411046438783,44.7822756466914,4.88883047992259,47.0868910095429,-0.296605122096483
"Netherlands",1962,NA,6.84930071761563,35.1851851851852,38.8891658772498,0.288926245009447,41.1218894981021,8.41411046438783,44.7822756466914,4.88883047992259
"Netherlands",1963,NA,3.62083672408891,34.5932094811019,35.1851851851852,6.84930071761563,38.8891658772498,0.288926245009447,41.1218894981021,8.41411046438783
"Netherlands",1964,NA,8.28870427492761,29.770548939878,34.5932094811019,3.62083672408891,35.1851851851852,6.84930071761563,38.8891658772498,0.288926245009447
"Netherlands",1965,NA,5.23303566747637,28.2770500861312,29.770548939878,8.28870427492761,34.5932094811019,3.62083672408891,35.1851851851852,6.84930071761563
"Netherlands",1966,NA,2.7558434010047,28.0689181522291,28.2770500861312,5.23303566747637,29.770548939878,8.28870427492761,34.5932094811019,3.62083672408891
"Netherlands",1967,NA,5.26286019037769,29.382957884427,28.0689181522291,2.7558434010047,28.2770500861312,5.23303566747637,29.770548939878,8.28870427492761
"Netherlands",1968,NA,6.41758849132934,28.9577658347444,29.382957884427,5.26286019037769,28.0689181522291,2.7558434010047,28.2770500861312,5.23303566747637
"Netherlands",1969,NA,6.43813975632452,23.9137561953985,28.9577658347444,6.41758849132934,29.382957884427,5.26286019037769,28.0689181522291,2.7558434010047
"Netherlands",1970,NA,5.69494144437215,23.3934223200771,23.9137561953985,6.43813975632452,28.9577658347444,6.41758849132934,29.382957884427,5.26286019037769
"Netherlands",1971,NA,4.22173062742457,21.1767573661598,23.3934223200771,5.69494144437215,23.9137561953985,6.43813975632452,28.9577658347444,6.41758849132934
"Netherlands",1972,NA,3.30997483680839,19.1755858073466,21.1767573661598,4.22173062742457,23.3934223200771,5.69494144437215,23.9137561953985,6.43813975632452
"Netherlands",1973,NA,4.68797455916246,17.1088431332945,19.1755858073466,3.30997483680839,21.1767573661598,4.22173062742457,23.3934223200771,5.69494144437215
"Netherlands",1974,NA,3.96607334846495,16.6500863919577,17.1088431332945,4.68797455916246,19.1755858073466,3.30997483680839,21.1767573661598,4.22173062742457
"Netherlands",1975,NA,-0.0913751689346265,17.738737798689,16.6500863919577,3.96607334846495,17.1088431332945,4.68797455916246,19.1755858073466,3.30997483680839
"Netherlands",1976,NA,4.70875594207978,18.6906530046894,17.738737798689,-0.0913751689346265,16.6500863919577,3.96607334846495,17.1088431332945,4.68797455916246
"Netherlands",1977,NA,2.71870456185863,19.3194660802101,18.6906530046894,4.70875594207978,17.738737798689,-0.0913751689346265,16.6500863919577,3.96607334846495
"Netherlands",1978,NA,2.35854820970305,20.6618880153974,19.3194660802101,2.71870456185863,18.6906530046894,4.70875594207978,17.738737798689,-0.0913751689346265
