"year","pct","ser_num","datestop","timestop","city","sex","race","age"
2012,44,53,20120103,1658,3,1,3,21
2012,49,38,20120103,1700,3,1,3,41
2012,102,18,20120103,1710,4,1,3,19
2012,52,64,20120103,1733,3,1,3,18
2012,109,36,20120103,1735,4,1,1,18
2012,120,31,20120103,1746,5,1,3,41
2012,52,72,20120103,1758,3,1,2,20
2012,41,22,20120103,1800,3,1,1,19
2012,14,28,20120103,1815,1,0,5,41
2012,102,33,20120103,1821,4,1,3,33
2012,75,936,20120103,1830,2,1,3,35
2012,75,168,20120103,1845,2,1,1,20
2012,103,84,20120103,1912,4,1,1,46
2012,120,2995,20120103,1912,5,1,1,57
2012,109,53,20120103,1915,4,1,5,48
2012,79,70,20120103,1940,2,1,1,19
2012,68,29,20120103,1945,2,1,1,20
2012,41,34,20120103,1948,3,1,1,38
2012,25,983,20120103,2100,1,1,1,27
2012,101,26,20120103,2115,4,1,1,20
2012,44,48,20120103,2130,3,1,3,57
2012,67,261,20120103,2215,2,1,1,41
2012,68,33,20120103,2250,2,1,4,17
2012,123,6,20120103,2305,5,1,4,20
2012,90,159,20120103,2310,2,1,3,53
2012,122,10,20120103,2310,5,1,4,23
2012,32,450,20120103,2320,1,1,1,22
2012,30,42,20120103,2330,1,1,3,29
2012,70,286,20120103,2337,2,1,1,18
2012,67,265,20120103,2340,2,1,1,70
2012,44,50,20120103,2345,3,1,3,36
2012,107,183,20120103,2350,4,1,1,25
2012,47,206,20120104,15,3,1,1,37
2012,14,57,20120104,15,1,1,3,29
2012,70,289,20120104,17,2,1,1,26
2012,114,25,20120104,30,4,1,4,19
2012,110,64,20120104,40,4,1,3,33
2012,72,155,20120104,950,2,1,4,24
2012,25,50,20120104,1053,1,1,1,40
2012,40,730,20120104,1105,3,0,1,15
2012,43,196,20120104,1120,3,1,3,22
2012,113,69,20120104,1230,4,1,1,25
2012,60,56,20120104,1230,2,1,1,17
2012,14,44,20120104,1250,1,1,1,28
2012,105,66,20120104,1300,4,1,1,18
2012,103,121,20120104,1302,4,1,5,17
2012,40,773,20120104,1305,3,1,1,36
2012,42,239,20120104,1359,3,1,1,17
2012,83,1083,20120104,1400,2,1,3,54
2012,32,151,20120104,1410,1,0,1,24
2012,103,205,20120104,1415,4,1,1,38
2012,61,13,20120104,1430,2,1,1,18
2012,13,9,20120104,1430,1,1,1,48
2012,23,24,20120104,1445,1,1,3,40
2012,71,25,20120104,1449,2,1,1,26
2012,44,4508,20120104,1507,3,1,1,18
2012,34,26,20120104,1515,1,1,3,32
2012,13,13,20120104,1530,1,1,1,22
2012,73,100,20120104,1530,2,1,1,35
2012,18,5,20120104,1549,1,1,2,14
2012,109,63,20120104,1600,4,1,3,21
2012,41,74,20120104,1605,3,0,2,14
2012,77,51,20120104,1609,2,1,1,29
2012,100,57,20120104,1615,4,1,1,17
2012,19,26,20120104,1643,1,1,4,47
2012,67,79,20120104,1645,2,0,1,24
2012,45,72,20120104,1715,3,1,1,20
2012,70,52,20120104,1720,2,1,1,27
2012,79,132,20120104,1730,2,1,1,48
2012,23,332,20120104,1755,1,1,1,29
2012,81,82,20120104,1758,2,1,1,27
2012,113,599,20120104,1815,4,1,2,52
2012,70,56,20120104,1820,2,1,1,30
2012,45,73,20120104,1835,3,1,3,30
2012,105,114,20120104,1922,4,1,2,30
2012,120,54,20120104,1940,5,1,1,34
2012,66,47,20120104,1950,2,1,5,48
2012,114,91,20120104,1956,4,1,1,28
2012,43,67,20120104,1957,3,1,3,19
2012,62,100,20120104,2050,2,1,4,170
2012,40,470,20120104,2057,3,1,2,48
2012,112,12,20120104,2120,4,1,4,41
2012,43,71,20120104,2130,3,1,1,26
2012,94,13,20120104,2145,2,1,1,27
2012,113,37,20120104,2210,4,1,1,46
2012,26,31,20120104,2230,1,1,1,20
2012,78,445,20120104,2230,2,1,3,40
2012,103,672,20120104,2245,4,0,1,28
2012,88,38,20120104,2300,2,1,1,49
2012,7,32,20120104,2310,1,1,1,29
2012,120,770,20120104,2340,5,1,1,32
2012,70,292,20120105,2,2,1,2,38
2012,109,136,20120105,25,4,1,1,22
2012,109,134,20120105,25,4,1,1,22
2012,40,214,20120105,30,3,1,3,46
2012,24,183,20120105,45,1,1,4,47
2012,34,164,20120105,105,1,1,2,17
2012,47,95,20120105,120,3,1,1,55
2012,110,66,20120105,150,4,1,4,27
2012,61,50,20120105,300,2,1,1,21
2012,110,56,20120105,315,4,1,3,24
2012,109,84,20120105,427,4,1,5,35
2012,44,108,20120105,500,3,1,1,18
2012,45,80,20120105,750,3,1,3,15
2012,33,34,20120105,815,1,0,2,40
2012,113,105,20120105,1020,4,1,1,41
2012,33,248,20120105,1047,1,1,3,17
2012,33,136,20120105,1120,1,1,3,25
2012,75,283,20120105,1208,2,1,1,18
2012,90,401,20120105,1222,2,1,3,37
2012,1,17,20120105,1237,1,1,1,51
2012,108,99,20120105,1240,4,1,2,30
2012,79,200,20120105,1252,2,1,1,72
2012,43,215,20120105,1312,3,1,1,29
2012,13,30,20120105,1325,1,1,4,34
2012,42,85,20120105,1335,3,1,1,27
2012,25,512,20120105,1345,1,1,1,33
2012,46,57,20120105,1350,3,1,3,32
2012,61,61,20120105,1355,2,0,1,24
2012,17,29,20120105,1410,1,1,1,21
2012,5,92,20120105,1410,1,1,4,29
2012,47,100,20120105,1415,3,1,1,35
2012,114,97,20120105,1420,4,1,3,30
2012,52,163,20120105,1430,3,1,3,53
2012,77,77,20120105,1452,2,1,1,16
2012,60,62,20120105,1510,2,1,4,24
2012,114,67,20120105,1555,4,1,3,21
2012,40,828,20120105,1605,3,1,1,22
2012,70,63,20120105,1612,2,1,3,22
2012,76,40,20120105,1620,2,1,3,40
2012,101,73,20120105,1650,4,1,1,26
2012,67,84,20120105,1659,2,0,1,50
2012,30,52,20120105,1721,1,1,1,47
2012,94,22,20120105,1732,2,1,3,15
2012,44,141,20120105,1740,3,1,1,57
2012,41,104,20120105,1750,3,1,1,47
2012,23,389,20120105,1750,1,1,2,54
2012,75,307,20120105,1825,2,1,1,23
2012,106,20,20120105,1835,4,1,1,20
2012,83,110,20120105,1845,2,1,1,19
2012,114,133,20120105,1900,4,1,1,17
2012,73,340,20120105,1910,2,1,1,19
2012,103,237,20120105,1915,4,1,1,29
2012,10,28,20120105,1915,1,1,1,47
2012,43,82,20120105,1920,3,1,3,33
2012,109,216,20120105,1925,4,1,3,20
2012,34,129,20120105,1945,1,0,2,22
2012,44,136,20120105,2010,3,1,1,14
2012,112,78,20120105,2024,4,1,1,48
2012,77,87,20120105,2025,2,1,1,20
2012,110,163,20120105,2030,4,1,3,32
2012,52,148,20120105,2050,3,1,3,19
2012,40,248,20120105,2055,3,0,1,15
2012,75,739,20120105,2100,2,1,1,20
2012,112,80,20120105,2115,4,1,4,30
2012,69,55,20120105,2120,2,1,1,27
2012,120,316,20120105,2130,5,1,1,33
2012,120,206,20120105,2155,5,1,3,45
2012,120,58,20120105,2200,5,1,4,19
2012,46,250,20120105,2210,3,1,1,20
2012,122,40,20120105,2210,5,1,4,42
2012,7,54,20120105,2231,1,1,5,27
2012,44,110,20120105,2235,3,1,1,20
2012,32,145,20120105,2240,1,1,3,26
2012,90,395,20120105,2250,2,1,4,27
2012,25,516,20120105,2255,1,1,1,17
2012,72,83,20120105,2258,2,1,3,29
2012,110,157,20120105,2300,4,1,4,18
2012,43,128,20120105,2320,3,1,1,169
2012,43,253,20120105,2330,3,1,1,24
2012,25,115,20120106,10,1,1,3,34
2012,44,109,20120106,15,3,1,1,21
2012,42,61,20120106,25,3,1,3,16
2012,101,107,20120106,40,4,1,1,27
2012,70,82,20120106,50,2,1,1,31
2012,60,75,20120106,50,2,1,4,24
2012,40,571,20120106,55,3,1,3,21
2012,115,118,20120106,100,4,1,3,31
2012,25,72,20120106,104,1,1,1,23
2012,84,45,20120106,105,2,1,1,14
2012,41,86,20120106,115,3,1,3,46
2012,69,60,20120106,125,2,1,1,30
2012,115,904,20120106,130,4,0,1,20
2012,33,140,20120106,150,1,1,2,28
2012,75,1129,20120106,200,2,1,1,21
2012,66,32,20120106,220,2,0,4,24
2012,14,79,20120106,230,1,1,1,16
2012,67,283,20120106,230,2,1,1,22
2012,72,74,20120106,245,2,1,5,22
2012,83,259,20120106,320,2,0,4,21
2012,110,91,20120106,330,4,1,3,21
2012,115,474,20120106,335,4,1,3,18
2012,72,76,20120106,345,2,1,3,36
2012,41,161,20120106,833,3,1,1,22
2012,1,87,20120106,910,1,1,1,25
2012,107,567,20120106,925,4,0,1,15
2012,75,248,20120106,930,2,1,1,18
2012,75,242,20120106,930,2,1,1,28
2012,41,502,20120106,953,3,1,4,56
2012,5,148,20120106,1000,1,1,1,52
2012,84,81,20120106,1019,2,1,1,18
2012,67,1896,20120106,1030,2,1,1,16
2012,112,23,20120106,1033,4,1,4,23
2012,14,132,20120106,1100,1,1,1,42
2012,112,24,20120106,1120,4,1,1,42
2012,113,54,20120106,1140,4,1,1,19
2012,107,678,20120106,1154,4,1,1,16
2012,42,255,20120106,1225,3,1,2,16
2012,40,448,20120106,1250,3,0,1,24
2012,14,146,20120106,1330,1,1,3,41
2012,106,112,20120106,1345,4,1,3,16
2012,104,53,20120106,1349,4,1,4,42
2012,60,89,20120106,1355,2,1,1,25
2012,111,35,20120106,1410,4,1,3,46
2012,77,447,20120106,1415,2,1,1,22
2012,88,46,20120106,1425,2,1,3,20
2012,19,267,20120106,1433,1,1,3,29
2012,70,107,20120106,1445,2,1,1,35
2012,75,284,20120106,1450,2,1,1,59
2012,67,188,20120106,1500,2,1,1,21
2012,88,191,20120106,1510,2,0,1,17
2012,81,1616,20120106,1515,2,1,1,52
2012,67,158,20120106,1516,2,1,1,51
2012,63,84,20120106,1520,2,1,1,21
2012,120,261,20120106,1530,5,1,4,20
2012,42,121,20120106,1535,3,1,3,18
2012,112,54,20120106,1535,4,1,3,22
2012,28,188,20120106,1540,1,1,3,16
2012,75,322,20120106,1547,2,1,1,22
2012,41,225,20120106,1550,3,0,2,42
2012,40,639,20120106,1555,3,1,1,15
2012,48,68,20120106,1610,3,1,1,26
2012,100,119,20120106,1612,4,1,1,33
2012,44,2125,20120106,1615,3,1,1,30
2012,45,74,20120106,1630,3,1,1,16
2012,75,376,20120106,1632,2,1,3,21
2012,44,189,20120106,1635,3,1,3,20
2012,34,99,20120106,1700,1,0,3,14
2012,73,254,20120106,1710,2,1,1,19
2012,112,21,20120106,1717,4,1,1,49
2012,34,337,20120106,1721,1,1,2,50
2012,88,47,20120106,1723,2,0,1,13
2012,40,292,20120106,1747,3,1,3,42
