fips	year	incum_vote	prev_incum	all_current_irelief
1053	1988	62.14168167	68.32756805	0
1053	1992	46.43999863	62.14168167	1.357761145
1053	1996	41.88999939	37.5	0
1053	2000	38.79000092	41.88999939	0.931514561
1053	2004	68.68000031	59.81999969	4.853917122
1055	1988	49.67261887	49.61965942	0
1055	1992	41.15000153	49.67261887	0.020717211
1055	1996	47.86000061	48.43000031	0.028520968
1055	2000	44.29999924	47.86000061	0
1055	2004	63.25999832	53.59000015	1.947362304
1057	1988	57.4037323	64.62991333	0
1057	1992	42.54999924	57.4037323	1.442332149
1057	1996	46.90000153	45.22000122	0
1057	2000	39.24000168	46.90000153	0
1057	2004	69.16000366	58.68000031	3.712816477
1059	1988	50.24900055	52.89717865	0
1059	1992	40.43000031	50.24900055	0.114917226
1059	1996	47.97000122	50.20000076	1.337988853
1059	2000	43.16999817	47.97000122	0
1059	2004	62.68000031	55.11000061	3.794559956
1061	1988	67.31586456	70.00332642	0.063117526
1061	1992	49.08000183	67.31586456	3.339023829
1061	1996	35.33000183	36.70999908	3.057741642
1061	2000	28.96999931	35.33000183	3.289358377
1061	2004	79.30000305	68.91999817	5.673804283
1063	1988	23.9433403	26.1278553	0
1063	1992	16.48999977	23.9433403	2.743432283
1063	1996	79.69999695	79.18000031	0
1063	2000	79.70999908	79.69999695	0
1063	2004	20.18000031	19.34000015	4.270479202
1065	1988	42.71054459	44.43527222	0
1065	1992	33.22000122	42.71054459	0.930547774
1065	1996	61.61000061	57.79999924	0
1065	2000	60.16999817	61.61000061	0
1065	2004	41.29999924	38.59999847	4.217564106
1067	1988	61.82409286	63.37395859	2.221096039
1067	1992	45.70000076	61.82409286	2.003421545
1067	1996	45.49000168	43.15000153	4.22998476
1067	2000	40.13000107	45.49000168	3.018026114
1067	2004	66.30999756	58.47999954	6.011997223
1069	1988	73.86644745	75.80134583	0
1069	1992	58.33000183	73.86644745	0.344854832
1069	1996	31.32999992	29.76000023	1.532086611
1069	2000	29.36000061	31.32999992	0.817415178
1069	2004	74.23999786	69.09999847	4.591741562
1071	1988	44.54685211	46.1844635	0
1071	1992	30.19000053	44.54685211	0.021790063
1071	1996	52.72999954	56.18999863	0
1071	2000	50.63000107	52.72999954	0
1071	2004	56.75999832	47.33000183	3.411758423
1073	1988	57.69117355	59.41241074	0
1073	1992	50.13000107	57.69117355	0
1073	1996	46.06999969	42.11999893	0
1073	2000	47.45000076	46.06999969	0.012395999
1073	2004	54.15999985	50.59000015	0.234594434
1075	1988	58.44699097	67.20640564	0
1075	1992	47.29000092	58.44699097	0
1075	1996	44.34999847	41.29999924	0.281957865
1075	2000	36.59999847	44.34999847	0.603417516
1075	2004	71.08000183	61.65999985	3.640186071
1077	1988	49.41580582	53.57479477	0
1077	1992	40.66999817	49.41580582	0
1077	1996	44.75	47.20999908	0.709690452
1077	2000	43.16999817	44.75	0
1077	2004	59.72000122	54.38999939	3.036483288
1079	1988	42.96067429	47.04023743	0
1079	1992	30.86000061	42.96067429	0.6087237
1079	1996	51.79999924	54.90999985	0
1079	2000	51.66999817	51.79999924	0
1079	2004	55.20999908	46.54000092	4.146529675
1081	1988	64.3807373	64.05335999	0
1081	1992	47.58000183	64.3807373	0
1081	1996	38.90000153	38.79999924	0
1081	2000	38.09000015	38.90000153	0.261483699
1081	2004	62.70000076	58.63000107	2.243437529
1083	1988	61.55826569	60.12134171	2.122793436
1083	1992	45.65999985	61.55826569	0.702357948
1083	1996	38.90000153	37.45000076	1.025616646
1083	2000	38.04999924	38.90000153	0
1083	2004	67.76999664	60.09999847	3.614795923
1085	1988	29.41792297	31.01675606	0
1085	1992	25.79999924	29.41792297	1.099410295
1085	1996	72.95999908	67.98999786	0
1085	2000	72.98999786	72.95999908	0
1085	2004	29.65999985	26.23999977	4.709341526
1087	1988	16.81278992	16.24381447	0
1087	1992	12.93999958	16.81278992	2.091061831
1087	1996	85.55000305	82.77999878	0
1087	2000	86.80000305	85.55000305	1.279624581
1087	2004	16.69000053	12.35000038	3.413197517
1089	1988	67.05760193	64.53379822	0
1089	1992	47.70999908	67.05760193	0.086348861
1089	1996	41.90000153	36.13999939	0.039253414
1089	2000	42.52999878	41.90000153	0
1089	2004	58.88000107	54.84999847	2.05953145
1091	1988	48.60744858	51.51277924	0
1091	1992	39.75	48.60744858	0.076646961
1091	1996	52.70999908	50.09000015	0
1091	2000	50.38999939	52.70999908	0
1091	2004	50.90999985	48.81000137	4.024989605
1093	1988	56.73049545	63.20358276	0
1093	1992	42.88999939	56.73049545	0
1093	1996	46.61999893	46.47000122	0
1093	2000	39.13000107	46.61999893	0
1093	2004	69.76999664	58.77999878	3.090550423
1095	1988	60.90139008	60.46785355	0
1095	1992	45.84999847	60.90139008	0
1095	1996	37.43000031	39.00999832	0.1425374
1095	2000	37.09000015	37.43000031	0
1095	2004	72.34999847	61.04000092	3.128309488
1097	1988	60.83428955	62.55622101	1.234109998
1097	1992	50.72000122	60.83428955	0
1097	1996	42.08000183	38.22000122	0
1097	2000	41.95999908	42.08000183	0.875493765
1097	2004	58.68999863	55.93000031	1.3332932
1099	1988	60.0737114	60.64985657	0
1099	1992	50.47999954	60.0737114	0.60079813
1099	1996	43.86000061	39.72999954	0
1099	2000	41.79000092	43.86000061	0.123734735
1099	2004	61.15999985	57.56999969	5.163716793
1101	1988	58.35674286	57.76681519	1.528122902
1101	1992	47.29000092	58.35674286	3.803782701
1101	1996	48.74000168	43.34000015	3.559926033
1101	2000	50.25999832	48.74000168	4.401506901
1101	2004	49.18999863	48.34000015	5.597062111
1103	1988	63.51889038	67.81363678	0
1103	1992	47.91999817	63.51889038	0
1103	1996	36.52999878	34.31000137	0
1103	2000	37.63000107	36.52999878	0
1103	2004	69.08999634	60.38999939	2.678262234
1105	1988	36.59256744	40.5742836	0
1105	1992	31.45999908	36.59256744	1.836072803
1105	1996	68.66000366	63.86000061	0
1105	2000	69.47000122	68.66000366	0
1105	2004	31.46999931	29.93000031	5.57519722
1107	1988	55.15611649	56.47299957	0
1107	1992	44.63000107	55.15611649	0.270422637
1107	1996	51.68999863	46.45999908	0
1107	2000	48.50999832	51.68999863	0
1107	2004	56.61000061	50.41999817	3.555078983
1109	1988	60.03868866	62.60424042	0.241269067
1109	1992	48.45000076	60.03868866	3.098054647
1109	1996	43.65000153	41.88000107	1.08408618
1109	2000	41.31999969	43.65000153	2.676253319
1109	2004	62.97000122	57.45000076	4.852138519
1111	1988	64.02270508	65.73519897	0
1111	1992	46.77000046	64.02270508	0.37683022
1111	1996	43.38000107	40.70000076	0.18565169
1111	2000	39.06999969	43.38000107	0.989011884
1111	2004	68.06999969	58.91999817	3.457994938
1113	1988	48.3915329	46.04206848	0
1113	1992	35.61000061	48.3915329	0.997998834
1113	1996	57.20000076	55.11999893	0
1113	2000	56.83000183	57.20000076	0.117963791
1113	2004	49.59999847	41.95000076	3.053975105
1115	1988	70.70747375	71.02497864	0
1115	1992	57.56000137	70.70747375	0.055936936
1115	1996	30.20000076	30.13999939	0
1115	2000	26.92000008	30.20000076	0.117896117
1115	2004	80.58999634	71.05000305	1.842266917
1117	1988	78.83662415	77.87516022	0
1117	1992	67.97000122	78.83662415	0
1117	1996	22.21999931	21.42000008	0
1117	2000	21.21999931	22.21999931	0
1117	2004	80.38999939	76.69999695	1.393625379
1119	1988	33.33835602	35.64993668	0
1119	1992	25.71999931	33.33835602	0.938235998
1119	1996	72.88999939	68.47000122	1.648542643
1119	2000	72.51999664	72.88999939	0
1119	2004	29.21999931	26.76000023	4.021296978
1121	1988	60.3198967	61.10773087	0
1121	1992	48.20999908	60.3198967	0.38270846
1121	1996	45.59000015	40.72000122	0.332366139
1121	2000	44.25999832	45.59000015	0
1121	2004	61.31000137	54.25	2.97928524
1123	1988	63.93442535	66.18615723	0
1123	1992	52.66999817	63.93442535	0.476820916
1123	1996	40.97999954	36.90000153	0
1123	2000	38.04000092	40.97999954	0.718970776
1123	2004	69.02999878	60.33000183	2.424151421
1125	1988	59.87149811	62.75285721	0
1125	1992	47.27000046	59.87149811	0.223771855
1125	1996	42.41999817	40.45999908	0
1125	2000	40.95000076	42.41999817	0.281100929
1125	2004	61.40000153	56.56000137	1.866296053
1127	1988	48.50660706	54.10684967	0
1127	1992	38.25999832	48.50660706	0
1127	1996	51.84000015	50.22000122	0
1127	2000	45.31999969	51.84000015	0.019090135
1127	2004	67.56999969	52.59999847	2.030297041
1129	1988	52.21942902	58.78297806	0
1129	1992	40.06000137	52.21942902	0
1129	1996	51.11999893	49.56999969	0.107134983
1129	2000	44.58000183	51.11999893	0
1129	2004	61.36000061	54.20000076	3.547823429
1131	1988	33.97811508	46.53524399	0.173137009
1131	1992	31.5	33.97811508	1.180639982
1131	1996	68.15000153	64.83999634	0
