"country","loggdp","islam","me","femlabor","oil"
"""Sri Lanka""",-0.4905685,-0.46935108,0,-1.4797846,-0.24607633
"""Lesotho""",-0.80623066,-0.72196126,0,0.12784812,-0.24607633
"""Lithuania""",0.34200788,-0.7178176,0,0.42150274,-0.24171618
"""Luxembourg""",1.9320557,-0.69449604,0,0.12057509,-0.24607633
"""Latvia""",0.3144146,-0.7138258,0,0.62281334,-0.24607633
"""Morocco""",-0.2610147,2.0519776,1,-0.26127356,-0.24602388
"""Moldova, Rep. of""",-1.032847,-0.57634807,0,-1.0228397,-0.24607633
"""Madagascar""",-1.2397437,-0.6673997,0,0.79839677,-0.24607633
"""Maldives""",0.1184424,2.0690296,0,0.37844324,-0.24607633
"""Mexico""",0.7039482,-0.7162339,0,-0.5248779,-0.0599974
"""Macedonia, TFYR""",-0.040759612,-0.040061362,0,0.5416585,-0.24607633
"""Mali""",-1.3104546,1.5512698,0,0.93223166,-0.24607633
"""Malta""",0.9963309,-0.71835995,0,-0.7808732,-0.24607633
"""Mongolia""",-0.9245384,-0.5983897,0,0.9999079,-0.24607633
"""Mozambique""",-1.3809267,-0.42526796,0,1.1755531,-0.24607633
"""Mauritania""",-1.0199248,2.0696368,0,0.7374146,-0.24607633
"""Mauritius""",0.4183688,-0.253231,0,-0.6407627,-0.24607633
"""Malawi""",-1.4984254,-0.2798501,0,1.1954987,-0.24607633
"""Malaysia""",0.4489678,0.61864716,0,-0.39436403,-0.044196207
"""Namibia""",0.0004777111,-0.71979177,0,-0.55241865,-0.24607633
"""Niger""",-1.4449472,1.8220382,0,0.6956252,-0.24607633
"""Nigeria""",-1.0388603,0.47988945,0,-0.057447802,-0.15708475
"""Nicaragua""",-0.5471416,-0.72272056,0,-0.013649891,-0.24607633
"""Netherlands""",1.5581976,-0.617676,0,0.33493432,-0.18654765
"""Norway""",1.8586569,-0.679874,0,0.83640915,0.85035616
"""Nepal""",-1.2841556,-0.6173072,0,0.3136843,-0.24607633
"""New Zealand""",1.2468257,-0.717362,0,0.58933395,-0.16251072
"""Oman""",0.954767,1.7749829,1,-1.7713028,1.6997411
"""Pakistan""",-0.7642221,1.9809718,0,-2.4367316,-0.23774846
"""Panama""",0.4814114,-0.599713,0,-0.16418228,-0.24607633
"""Peru""",0.072333105,-0.7233714,0,-0.5578239,-0.23285566
"""Philippines""",-0.38257334,-0.54925174,0,-0.7847973,-0.24596131
"""Poland""",0.48511946,-0.72308934,0,0.07592702,-0.2435716
"""Korea, Dem. Rep.""",-0.19872877,-0.72308934,0,0.6824541,-0.24607633
"""Portugal""",1.0528128,-0.7173837,0,0.17479645,-0.24607633
"""Paraguay""",-0.09947952,-0.7233714,0,-0.895333,-0.24607633
"""Qatar""",1.5068676,1.6183491,1,-2.929091,8.856929
"""Romania""",-0.012330246,-0.68881214,0,-0.9579482,-0.20843294
"""Russian Federation""",-0.008770483,-0.5094858,0,0.83718866,0.12973945
"""Rwanda""",-1.2965115,-0.49425632,0,1.2270327,-0.24607451
"""Saudi Arabia""",1.0211836,1.9313998,1,-2.5606437,2.4103603
"""Sudan""",-0.9919572,1.2778763,0,-0.59957796,-0.24306744
"""Senegal""",-0.8725977,1.7463028,0,0.65171516,-0.24607633
"""Singapore""",1.5238655,-0.20665303,0,0.26241902,-0.24607633
"""Solomon Islands""",-0.50316006,-0.7189023,0,1.0643522,-0.24607633
"""Sierra Leone""",-1.4957329,0.55638415,0,0.07333196,-0.24607633
"""El Salvador""",0.08787635,-0.7225253,0,-0.21607767,-0.24607633
"""Suriname""",0.11040002,-0.29818186,0,-0.3350033,-0.1535843
"""Slovakia""",0.42937708,-0.72308934,0,0.846438,-0.24563769
"""Slovenia""",0.99705374,-0.7204426,0,0.5148341,-0.24359155
"""Sweden""",1.6484575,-0.6759039,0,1.0361589,-0.23853597
"""Swaziland""",-0.1812349,-0.7069921,0,-0.010667456,-0.24607633
"""Syria""",-0.28225645,1.8083924,1,-0.8289351,-0.045310568
"""Chad""",-1.3951625,0.83698004,0,0.8128685,-0.24607633
"""Togo""",-1.1330739,-0.19140184,0,0.37925056,-0.24607633
"""Thailand""",0.08205684,-0.4990291,0,-1.1851479,-0.2361931
"""Turkmenistan""",-0.6518234,1.6573124,0,0.8919921,0.2997444
"""Trinidad and Tobago""",0.73579854,-0.5331978,0,-0.050294414,0.46714565
"""Tunisia""",0.03832944,2.067576,1,-0.38899016,-0.19900239
"""Turkey""",0.28797418,2.0139256,0,-2.0909307,-0.23972124
"""Taiwan""",1.6588899,-0.58235747,0,1.0788975,-0.24374591
"""Tanzania, U. Rep. of""",-1.1795666,0.14050157,0,1.2197168,-0.24607633
"""Uganda""",-1.259199,-0.57072926,0,1.0417302,-0.24607633
"""Ukraine""",-0.58818513,-0.6776829,0,0.39523435,-0.2185362
"""Uruguay""",0.73633415,-0.72300255,0,0.46739522,-0.24607633
"""United States""",1.8109453,-0.683779,0,0.8514618,-0.018053778
"""Uzbekistan""",-0.7365316,1.3352581,0,0.9724633,-0.120709896
"""Venezuela""",0.6291328,-0.7142597,0,-0.19471419,0.47466126
"""Viet Nam""",-0.99510086,-0.7016986,0,1.1522342,-0.2334808
"""Yemen""",-0.7772729,2.0667298,1,-2.8902514,-0.14608504
"""Serbia and Montenegro""",-0.43290636,-0.2666165,0,0.62274337,-0.24010915
"""South Africa""",0.3318841,-0.6605226,0,-0.06813829,-0.24607633
"""Congo, Dem. Rep. of the""",-1.7794449,-0.69117683,0,0.69868475,-0.24514605
"""Zambia""",-1.0350329,-0.69495165,0,0.6804151,-0.24607633
"""Zimbabwe""",-0.7046608,-0.7021976,0,0.74969023,-0.24607633
