"cname" "UN" "ldur" "lwdeaths" "lwdurat" "ethfrac" "pop" "continent"
"26" "Azerbaijan" 0 4.55387687683105 9.8699312210083 10 30.3524131774902 8.95712375640869 "eeurop"
"27" "Guinea-Bissau" 0 3.98898410797119 7.52294111251831 12 80.3756942749023 7.1921820640564 "ssafrica"
"28" "Mali" 0 3.55534815788269 5.29831743240356 7 77.8310699462891 9.07073307037354 "ssafrica"
"29" "Mali" 0 4.67282867431641 5.29831743240356 7 77.8310699462891 9.17159938812256 "ssafrica"
"30" "Senegal" 0 2.39789533615112 6.69703435897827 60 72.2772216796875 8.92757987976074 "ssafrica"
"31" "Senegal" 0 2.39789533615112 6.69703435897827 60 72.2772216796875 9.00380802154541 "ssafrica"
"32" "Senegal" 0 2.39789533615112 6.69703435897827 60 72.2772216796875 9.0529842376709 "ssafrica"
"33" "Senegal" 0 2.39789533615112 6.69703435897827 60 72.2772216796875 9.21034049987793 "ssafrica"
"34" "Niger" 0 2.39789533615112 4.44265127182007 23 73.2588043212891 9.0391960144043 "ssafrica"
"35" "Niger" 0 2.4849066734314 4.44265127182007 23 73.2588043212891 9.10897159576416 "ssafrica"
"36" "Niger" 0 4.26268005371094 4.44265127182007 23 73.2588043212891 9.21034049987793 "ssafrica"
"37" "Guinea" 0 3.13549423217773 7.00306558609009 16 74.9607467651367 8.95467376708984 "ssafrica"
"38" "Liberia" 1 3.93182563781738 10.043249130249 69 82.9912261962891 7.91315507888794 "ssafrica"
"39" "Sierra Leone" 1 3.55534815788269 9.47247409820557 117 76.884651184082 8.5434455871582 "ssafrica"
"40" "Togo" 0 4.96981334686279 3.21887588500977 1 71.0690231323242 8.17018604278564 "ssafrica"
"41" "Central African Republic" 0 1.60943794250488 4.09434461593628 1 68.6299438476562 8.2335033416748 "ssafrica"
"42" "Chad" 0 1.0986123085022 10.1570434570312 278 82.6272811889648 8.64400196075439 "ssafrica"
"43" "Chad" 0 2.30258512496948 10.4282159805298 20 82.6272811889648 8.69600868225098 "ssafrica"
"44" "Chad" 0 3.13549423217773 10.4573440551758 37 82.6272811889648 8.81447887420654 "ssafrica"
"45" "Congo" 0 3.13549423217773 5.16478586196899 14 65.7212371826172 7.98480319976807 "ssafrica"
"46" "Congo" 0 3.13549423217773 4.75359010696411 12 65.7212371826172 8.14525985717773 "ssafrica"
"47" "Zaire" 0 1.7917594909668 8.29404926300049 15 90.1631851196289 10.772686958313 "ssafrica"
"48" "Zaire" 1 3.13549423217773 11.9117012023926 41 90.1631851196289 10.8512773513794 "ssafrica"
"49" "Uganda" 0 3.13549423217773 11.5871047973633 132 89.946533203125 9.83627891540527 "ssafrica"
"50" "Burundi" 0 3.04452252388 8.69951438903809 98 3.55106592178345 8.68084144592285 "ssafrica"
"51" "Rwanda" 1 3.29583692550659 8.61250305175781 51 12.9210834503174 8.6475191116333 "ssafrica"
"52" "Somalia" 0 3.93182563781738 11.1087093353271 192 7.67429447174072 8.97132110595703 "ssafrica"
"53" "Djibouti" 0 3.97029185295105 5.99146461486816 38 69.3339080810547 6.36302804946899 "ssafrica"
"54" "Djibouti" 0 3.85014748573303 0 6 69.3339080810547 6.50128984451294 "ssafrica"
"55" "Ethiopia" 0 3.85014748573303 12.4474487304688 360 69.3593292236328 10.9700241088867 "ssafrica"
