"year" "pct" "ser_num" "datestop" "timestop" "city" "sex" "race" "dob" "age"
"2606" 2012 75 131 1022012 1945 2 1 3 1181995 16
"2644" 2012 73 51 1022012 2005 2 1 1 10161997 14
"2720" 2012 44 2080 1022012 2115 3 1 2 12311900 38
"2750" 2012 52 59 1022012 2145 3 1 2 8281993 18
"2788" 2012 32 118 1022012 2212 1 1 1 2141992 19
"2824" 2012 33 32 1022012 2250 1 1 3 4081991 21
"2878" 2012 42 15 1032012 10 3 1 1 6161988 23
"2880" 2012 109 88 1032012 10 4 1 1 12311900 52
"2887" 2012 81 33 1032012 18 2 0 3 12311900 40
"2893" 2012 76 11 1032012 22 2 1 4 3181968 43
"2904" 2012 123 116 1032012 29 5 1 4 10171988 23
"2909" 2012 67 12 1032012 33 2 1 1 12311900 25
"2911" 2012 32 54 1032012 40 1 1 1 1081978 33
"2935" 2012 104 119 1032012 110 4 1 1 12291975 36
"2941" 2012 40 117 1032012 120 3 1 1 12271986 25
"2947" 2012 61 644 1032012 128 2 1 4 8301988 23
"2959" 2012 115 82 1032012 142 4 1 3 11061972 39
"2993" 2012 40 740 1032012 235 3 1 3 12311900 22
"3016" 2012 71 16 1032012 305 2 1 4 12311900 32
"3059" 2012 40 132 1032012 600 3 1 3 6221987 24
"3072" 2012 49 27 1032012 805 3 1 3 11051987 24
"3074" 2012 45 20 1032012 815 3 1 3 12311900 40
"3098" 2012 40 357 1032012 900 3 1 3 12311900 36
"3184" 2012 75 279 1032012 1112 2 1 1 12311900 13
"3222" 2012 102 372 1032012 1145 4 1 5 11171991 20
"3282" 2012 77 211 1032012 1230 2 1 1 12311900 18
"3367" 2012 9 4 1032012 1320 1 1 4 12311900 41
"3410" 2012 34 29 1032012 1345 1 1 2 12311900 21
"3439" 2012 63 104 1032012 1400 2 1 1 12311900 17
"3532" 2012 72 6 1032012 1450 2 1 3 6041975 36
"3561" 2012 113 83 1032012 1500 4 1 3 10311971 40
"3596" 2012 79 1474 1032012 1520 2 1 1 12311900 40
"3598" 2012 62 19 1032012 1521 2 1 2 12311900 15
"3609" 2012 41 286 1032012 1530 3 1 1 3261991 20
"3665" 2012 75 146 1032012 1556 2 1 1 12311900 27
"3742" 2012 90 92 1032012 1630 2 1 3 5301963 48
