"isolate" "year" "partyid" "age" "attend" "south" "income" "female" "minority"
"3837" -1 1956 1 78 4 1 3 0 0
"3838" 1 1956 4 61 1 1 2 1 0
"3839" -1 1956 1 58 1 1 3 0 0
"3840" -1 1956 2 50 1 0 5 1 0
"3841" -1 1956 3 30 2 0 4 1 1
"3842" 0 1956 1 21 4 1 3 0 0
"3843" -1 1956 3 61 1 1 2 0 1
"3844" -1 1956 1 38 4 0 4 1 0
"3845" -1 1956 2 36 4 1 4 0 0
"3846" 1 1956 4 60 1 1 2 1 1
"3847" 1 1956 1 69 2 0 1 1 0
"3848" -1 1956 4 31 1 1 1 1 1
"3849" -1 1956 2 37 4 1 4 0 0
"3850" 1 1956 1 40 2 1 1 0 1
"3851" -1 1956 2 50 4 1 2 0 0
"3852" 1 1956 3 31 4 0 4 1 0
"3853" 0 1956 1 63 4 0 1 1 0
"3854" -1 1956 1 31 4 0 3 0 0
"3855" 1 1956 2 50 4 0 2 1 0
"3856" 0 1956 2 23 4 1 2 0 0
"3857" 1 1956 1 39 4 0 2 1 0
"3858" 1 1956 2 65 1 0 2 1 0
"3859" -1 1956 3 23 1 0 4 0 1
"3860" -1 1956 1 65 4 1 1 0 0
"3861" 1 1956 1 70 2 1 2 1 0
"3862" -1 1956 1 41 2 1 3 1 0
"3863" 0 1956 3 26 4 0 2 0 0
"3864" 1 1956 2 39 2 1 1 0 0
"3865" -1 1956 1 49 4 0 3 0 0
"3866" -1 1956 2 34 2 1 3 1 0
"3867" -1 1956 4 41 4 0 4 1 0
"3868" 1 1956 2 30 1 0 3 0 0
"3869" -1 1956 2 25 2 0 3 1 0
"3870" 0 1956 3 40 1 0 4 0 0
"3871" -1 1956 2 43 1 1 2 0 0
"3872" -1 1956 3 29 1 0 3 0 0
"3873" -1 1956 1 34 4 1 3 0 0
"3874" 1 1956 1 45 4 1 1 1 0
"3876" -1 1956 2 45 4 0 4 0 0
"3877" 1 1956 2 78 5 0 1 0 0
"3878" 1 1956 1 54 2 1 2 0 0
"3879" -1 1956 1 46 2 0 3 0 0
"3880" 0 1956 2 44 1 0 1 1 0
"3881" 1 1956 2 26 2 0 3 0 0
"3882" -1 1956 1 28 1 1 4 1 0
"3883" -1 1956 2 32 4 1 3 1 0
"3884" -1 1956 2 33 1 0 3 1 0
"3885" -1 1956 4 42 1 0 4 1 0
"3886" 1 1956 1 43 1 0 3 1 0
"3887" -1 1956 3 33 4 0 2 1 1
"3888" -1 1956 4 48 4 0 3 0 0
"3889" -1 1956 3 21 2 1 3 1 0
"3890" 1 1956 4 58 1 0 3 0 0
"3891" 1 1956 2 39 4 0 3 1 0
"3892" 0 1956 4 62 1 0 5 1 0
"3893" 0 1956 1 24 4 0 1 1 0
"3894" 1 1956 2 30 1 1 2 1 0
"3895" -1 1956 4 30 5 1 3 1 0
"3896" -1 1956 2 23 2 1 3 0 0
"3898" -1 1956 4 34 1 1 4 0 0
"3899" -1 1956 1 43 1 0 2 1 0
"3900" -1 1956 2 34 1 0 5 1 0
"3901" -1 1956 1 47 4 0 5 0 0
"3902" -1 1956 1 52 1 1 2 0 0
"3903" -1 1956 4 36 2 0 3 1 0
"3904" -1 1956 1 55 4 1 5 0 0
"3905" 1 1956 3 29 1 0 4 1 0
"3906" -1 1956 4 70 2 0 1 1 0
"3907" -1 1956 2 44 4 0 3 0 0
"3908" -1 1956 2 30 4 1 4 1 0
"3909" 0 1956 4 48 4 0 2 1 0
"3910" 1 1956 2 69 4 0 2 0 0
"3911" 1 1956 3 58 2 0 3 0 0
"3913" -1 1956 4 31 4 0 3 1 0
"3914" -1 1956 2 31 4 1 5 1 0
